Nghi,Online,TX1,TX2,GK,Actual
4,2,8,7.5,6.5,1
2,0.5,3.5,5,4,0
2,2,8,7,5,1
4,3,10,8,7.5,1
6,0.5,5,6,5,0
0,2,8,7,6,1
8,0.5,9,0,6.5,0
40,0.5,0,0,0,0
4,2,7.5,7,6,1
6,0.7,5,6,7,1
6,0.7,5,6,7,1
0,2,8,7.5,5,1
8,1,6,7.5,5,1
6,2,6,8,6.5,1
2,2,8,7,5,1
4,0.7,6.5,7,4,0
2,2,8,7,5,1
6,2,8,7,5,1
4,1,8,6,5,1
6,2,8.5,7,5,1
2,0.5,4,7,4,0
4,0.5,5.5,6,4,0
8,0.5,2.5,6,5,0
10,0.7,6.5,6,5,1
2,2,7,7,6,1
4,3,9,7,8,1
6,0.5,3.5,6,5,0
4,0.5,2.5,6,4,0
2,0.5,2.5,6.5,5.5,0
0,2,9,7,6,1
4,3,9,7,7,1
6,0.5,3,6,5.5,0
6,2,7,6,8,1
40,0.5,0,0,0,0
2,1,6,6,7,1
0,0.5,4,5,3,0
40,0.5,0,0,0,0
0,0.5,5.5,5,4,0
40,0.5,0,0,0,0
0,0.5,0.5,5.5,2.5,0
0,0.5,2,6,4.5,0
0,0.5,4,6,5.5,0
0,0.5,2,6.5,4.5,0
0,2,8.5,7,5,1
0,0.5,3.5,7,4,0
0,0.5,3,6.5,3.5,0
2,0.5,5.5,6,3,0
2,0.7,6,6,4.5,0
2,0.5,3.5,5.5,4,0
0,0.5,4,5.5,4.5,0
0,0.5,4.5,6,4,0
0,0.5,3.5,5.5,3,0
0,0.5,4,6,6,0
0,0.5,3,6,6.5,0
0,0.5,4,6.5,4,0
0,0.5,5,6,4,0
0,0.5,2,5.5,4.5,0
4,0.5,0.5,5,3,0
0,0.5,4,5,1.5,0
0,0.5,5,6,4,0
0,2,9,7,6,1
14,0.5,0,0,3,0
0,1,7,6,6,1
6,0.5,3,6,5.5,0
6,2,7,6,8,1
40,0.5,0,0,0,0
2,1,6,6,7,1
