Nghi,Online,TX1,TX2,GK,Actual,,,,
4,1,6,7.5,6,1,, , , 
12,0.7,7,4,5.5,0,, , , 
6,0.7,6.5,5.5,6,0,, , , 
5,2,7,8,5.5,1,, , , 
12,0.7,3,8,6.5,1,, , , 
6,3,7.5,9,8.5,1,, , , 
2,3,7,8.5,7.5,1,, , , 
3,3,7.5,9.5,6,1,, , , 
2,2,5.5,6.5,8,1,, , , 
10,2,9,6,6,1,, , , 
8,0.5,2,8.5,3,0,, , , 
0,1,6,8,5.5,1,, , , 
11,2,6,7,7.5,1,, , , 
0,0.7,3,8,7,0,, , , 
3,3,7.5,8,7,1,, , , 
7,2,4.5,8.5,7.5,1,, , , 
11,0.7,4,7,7,1,, , , 
4,2,6.5,9.5,5.5,1,, , , 
4,3,8,8.5,7,1,, , , 
6,3,6.5,8,8,1,, , , 
11,2,6.5,5.5,8,1,, , , 
4,2,8,6.5,6,1,, , , 
8,0.5,2.5,7,6,0,, , , 
10,3,8,7.5,8,1,, , , 
7,2,6.5,7.5,8,1,, , , 
4,0.5,3.5,8.5,3,0,, , , 
11,2,6,7,7.5,1,, , , 
2,3,9.5,8,8.5,1,, , , 
11,3,6,9.5,7.5,1,, , , 
34,0.5,0,0,0,0,, , , 
6,2,8,6.5,6,1,, , , 
4,0.5,3,6.5,2.5,0,, , , 
0,1,7.5,8,4,1,, , , 
8,2,7,6.5,6.5,1,, , , 
18,0.5,4.5,0,0,0,, , , 
8,1,8,6.5,5,1,, , , 
12,0.5,4,6,6,0,, , , 
12,0.7,3.5,5.5,7.5,0,, , , 
4,2,8.5,6.5,5.5,1,, , , 
6,1,5.5,6.5,7,1,, , , 
0,3,9,8,7,1,, , , 
6,3,8,8.5,7,1,, , , 
4,1,6.5,7.5,4.5,1,, , , 
12,0.7,4,6.5,6.5,0,, , , 
0,0.7,5,7,6,1,, , , 
8,0.7,6,7.5,4,0,, , , 
22,0.5,5,0,0,0,, , , 
10,0.5,5.5,6,3.5,0,, , , 
10,0.5,1,5.5,2,0,, , , 
4,0.5,6,6,3,0,, , , 
6,0.5,6,6,4,0,, , , 
4,3,8.5,7.5,7.5,1,, , , 
4,1,7.5,6.5,5,1,, , , 
10,2,7.5,6,7,1,, , , 
4,0.7,7.5,6.5,4,0,, , , 
10,0.5,4.5,6.5,5,0,, , , 
10,0.5,2,6.5,7,0,, , , 
2,2,7,6.5,7,1,, , , 
6,2,7.5,7,5.5,1,, , , 
12,0.5,4,7,4.5,0,, , , 
10,0.5,4.5,6.5,5,0,, , , 
10,0.5,3.5,5.5,5.5,0,, , , 
10,0.5,2.5,5.5,3.5,0,, , , 
