TBKTOnline,TBKTTuluan,Nghi,Online,TX1,TX2,GK,Actual
9.96,10,5,2.4,10,9,6.5,1
9.86,7.3,7,2,7.5,9,6,1
9.8,7.6,10,2.1,8.5,9,5.5,1
9.63,4.5,9,1.6,4.5,9,8,0
9.61,8.2,2,1.3,7.5,9,5,1
9.52,8.5,2,2.4,8.5,9,8.5,1
9.41,8.2,1,2.9,8.5,9,4.5,1
9.28,9,0,1.7,9,9,4.5,1
9.28,7.3,2,2.6,7,8.5,5,1
9.21,7.2,2,3,7,8.5,5.5,1
9.05,7.2,9,1.8,7.5,8.5,6.5,1
9.02,7.1,3,2.8,7.5,9,8,1
8.9,8.5,0,2.2,7.5,8,6,1
8.9,5.8,11,2.2,5.5,8,5.5,0
8.88,9.7,2,2.8,10,8.5,5.5,1
8.87,5.9,3,2.2,6.5,8,6,1
8.85,8,9,2.5,8,9,8,1
8.84,8.9,2,2.4,8,8,6,1
8.84,8.1,2,2,9,9,6.5,1
8.84,5.7,11,1,6.5,8,6.5,1
8.83,8.4,7,2.5,9,8.5,6,1
8.83,3.5,5,1.2,3.5,8,7,0
8.81,5.1,10,1.8,5,8,7,1
8.78,10,0,1.9,9.5,9,8,1
8.75,8.8,7,1.9,8.5,8,6.5,1
8.73,9.3,0,2.6,8.5,8.5,6,1
8.72,7.4,3,1.8,7.5,8,6.5,1
8.69,9.3,3,2.9,9,8,7,1
8.66,6.6,0,1.5,6,8,6,1
8.61,8.2,5,2.1,8,8.5,6,1
8.56,8.6,1,2.1,8.5,8.5,5,1
8.49,6.9,6,2.5,6.5,7.5,5.5,1
8.48,6.9,0,2.9,4,8,6.5,1
8.45,7.9,3,1.5,8,7.5,5.5,1
8.45,6.5,10,1,4.5,7.5,7.5,1
8.44,8.1,4,1.7,8.5,8.5,6,1
8.41,9.8,5,2.9,9.5,7.5,9,1
8.41,7,3,1.3,8,8,7,1
8.4,9.6,4,1.7,9.5,8,7,1
8.4,9.1,12,1.8,9.5,8,8.5,1
8.38,10,12,2.7,9.5,9,7,1
8.32,5.5,2,2,6.5,8,5.5,1
8.3,7.3,12,1.1,7.5,8,6.5,1
8.3,6.8,2,1.4,6,7.5,6,1
8.29,8.9,7,2.6,8,8,7.5,1
8.28,8.4,8,2.2,8,8,6.5,1
8.24,6.4,6,1.7,6.5,8,5.5,1
8.22,6.9,9,1.8,6.5,7.5,6,1
8.2,8.3,0,2.4,7.5,7.5,6,1
8.17,5,11,1.1,3,8,7,1
8.15,7,10,2.5,7,8,6.5,1
8.11,7.3,7,1.4,8,8,8,1
8.1,6.9,11,2,6,9,5.5,1
8.08,8.1,9,1.1,7.5,8,7,1
8.06,6.3,7,1.9,6.5,7.5,5.5,1
8.04,6.6,7,2,4.5,8,8,1
8.04,4.2,0,1.8,4,8,6.5,0
8.03,8,7,2.6,9,7.5,7,1
8.02,10,2,2,9.5,8,5,1
8.02,7.9,6,2.3,7,8.5,6,1
8.02,5.2,9,1.8,6,8.5,8,1
8,8.6,11,1.7,8,7.5,5,1
7.99,8.3,0,1.2,8,7.5,5,1
7.98,8.3,5,2.4,9,7,7,1
7.97,7.7,8,1.2,8.5,7,7.5,1
7.95,6.9,10,1.9,7.5,7,5,0
7.94,7.8,8,1.1,8.5,7,8,1
7.94,6.3,6,1.1,6.5,7,7,1
7.93,9.6,1,1.8,9.5,7.5,6,1
7.92,9.6,10,1.4,10,7.5,8.5,1
7.91,9.2,5,2.6,9.5,7,7,1
7.87,6,8,1.7,6,7.5,7,1
7.87,0.9,5,1.6,1.5,7,8,0
7.86,7.9,4,1.9,8.5,4,8,1
7.86,6.8,0,3,7.5,7,7,1
7.85,8.6,7,2.3,9,8,6.5,1
7.85,6.9,8,2.6,7.5,8,6.5,1
7.84,8.7,9,1.5,8.5,7,6.5,1
7.84,5.1,6,2.1,4,8.5,6,0
7.78,8.9,9,2.4,10,7,8,1
7.77,6.7,4,2.8,7.5,7.5,5.5,1
7.75,8.4,5,2.8,9,7.5,4,0
7.74,8.7,9,3.1,9,7,5,1
7.72,7.7,7,1.4,7.5,7,7,1
7.72,5.8,0,2.6,6,7.5,7,1
7.72,5.5,0,1.7,5,7,8,1
7.71,10,7,2.4,9.5,7,9,1
7.71,9.2,7,1.8,10,8,7.5,1
7.7,8.8,2,1.8,8.5,7.5,7,1
7.7,7.5,11,1.2,8,7.5,5,1
7.69,8.1,10,2,8.5,7.5,7,1
7.68,8.6,16,2.6,8.5,5.5,7.5,1
7.68,8.1,2,2.5,8.5,7,6,1
7.67,10,1,1.5,9.5,7,8,1
7.66,8.7,4,1,9.5,8,5.5,1
7.66,5.6,12,1.6,6.5,8,5.5,1
7.64,9.4,10,1.7,8.5,7.5,7,1
7.64,2.2,9,2.1,2.5,7.5,7.5,0
7.62,9.4,8,2.3,8.5,7,5,1
7.61,7,3,1.5,7,8,7.5,1
7.61,5.2,1,2.9,5.5,7.5,6,1
7.59,8.5,4,2.2,8,7.5,6,1
7.57,7.9,9,2.6,8.5,7.5,4.5,1
7.56,7.1,1,2.3,8,7.5,5,1
7.54,8.7,6,1.8,9,7,7,1
7.54,7.6,11,2.4,7,7.5,6.5,1
7.52,9.1,4,2.3,8.5,7,6.5,1
7.52,7.2,11,2,6.5,7,6,1
7.51,8.3,4,2.2,9,7.5,8.5,1
7.5,8.1,7,1.9,8,7,5,1
7.5,7.3,4,2.2,5,6.5,9.5,1
7.5,5.1,2,2.8,6,8,7.5,1
7.49,9,1,2.7,9,7,8,1
7.49,8.4,6,2,8.5,7,5.5,1
7.49,6.5,10,2.7,7,7.5,6.5,1
7.48,9.2,12,1.4,9,6.5,8,1
7.48,7.9,2,2.2,8,7.5,7.5,1
7.48,7,5,1.5,7.5,8,5.5,1
7.47,9.5,4,2.1,9,7,6,1
7.47,6.8,3,2.3,7.5,6.5,6,1
7.46,6.6,9,1.3,7,7,7.5,1
7.45,8.5,10,2.2,7.5,6.5,8,1
7.45,7.4,4,3,7,6.5,6.5,1
7.45,7.2,11,2.5,7,6.5,7,1
